06052799	1H	四書疑節	（元）袁俊翁	四庫全書,經部,四書類,元	06052799,06052800,06052801,06052802
06061381	3H	珊瑚綱	（明）汪砢玉	四庫全書,子部,藝術類,明	06061381,06061382,06061383,06061384,06061385,06061386,06061387,06061388,06061389,06061390,06061391,06061392,06061393,06061394,06061395,06061396,06061397,06061398,06061399,06061400,06061401,06061402,06061403,06061404,06061405
06047000	1E	春秋集傅釋義大成	（元）俞皋	四庫全書,經部,春秋類,元	06047000,06047001,06047002,06047003,06047004,06047005,06047006,06047007
06051905	3A	呻吟語摘	（明）吕坤	四庫全書,子部,儒家類,明	06051905,06051906
06051907	3A	劉子遺書	（明）劉宗周	四庫全書,子部,儒家類,明	06051907,06051908
06051909	3A	人譜	（明）劉宗周	四庫全書,子部,儒家類,明	06051909,06051910
06081493	XX	震川集	（明）歸有光	四庫全書薈要,集部,明	06081493,06081494,06081495,06081496,06081497,06081498,06081499,06081500,06081501,06081502,06081503,06081504
06047008	1E	春秋纂言	（元）吳澄	四庫全書,經部,春秋類,元	06047008,06047009,06047010,06047011,06047012,06047013,06047014,06047015,06047016,06047017
06052796	1H	四書論語集注通證	（元）張存中	四庫全書,經部,四書類,元	06052796,06052797
06044598	2K	顔山雜記	（清）孫廷銓	四庫全書,史部,地理類,清	06044598,06044599
06048883	3L	揮塵後錄	（宋）王明清	四庫全書,子部,小說家類,宋	06048883,06048884,06048885
06078288	4C	漢魏六朝百三家集	（明）張溥	四庫全書薈要,集部,總集類	06078288,06078289,06078290,06078291,06078292,06078293,06078294,06078295,06078296,06078297,06078298,06078299,06078300,06078301,06078345,06078346,06078347,06078348,06078349,06078350,06078351,06078352,06078353,06078354,06078355,06078356,06078357,06078358,06078359,06078360,06078361,06078362,06078363,06078364,06078365,06078366,06078367,06078368,06078369,06078370,06078371,06078372,06078373,06078374,06078375,06078376,06078377,06078378,06078379,06078380,06078381,06078382,06078383,06078384,06078385,06078386,06078387,06078388,06078389,06078390,06078391,06078392,06078393,06078394,06078395,06078396,06078397,06078398,06078399,06078400,06078401,06078402,06078403,06078404
06060492	3G	易通變	（宋）張行成	四庫全書,子部,術數類,宋	06060492,06060493,06060494,06060495,06060496,06060497,06060498,06060499,06060500,06060501,06060502,06060503,06060504,06060505,06060506,06060507,06065938,06065939,06065940,06065941,06065942,06065943,06065944,06065945,06065946,06065947,06065948,06065949,06065950,06065951
06073997	4B	滏水集	（金）趙秉文	四庫全書薈要,集部,別集類,金	06073997,06073998,06073999,06074000,06074001,06074002
06043397	1C	讀詩質疑	（清）嚴虞惇	四庫全書,經部,詩類,清	06043397,06043398,06043399,06043400,06043401,06043402,06043403,06043404,06043405,06043406,06043407,06043408,06043409,06043410,06043411,06043412
